epoch,accuracy,loss,val_accuracy,val_loss
0,0.38112372159957886,1.3273260593414307,0.4149855971336365,1.27072274684906
1,0.6537503600120544,0.9825275540351868,0.6858789920806885,0.9207628965377808
2,0.8076390624046326,0.5845215320587158,0.7118155360221863,0.7841278910636902
3,0.8497093915939331,0.41766875982284546,0.7060518860816956,0.7614551782608032
4,0.8796014189720154,0.34017542004585266,0.6829971075057983,0.8577862977981567
5,0.9028508067131042,0.2720191180706024,0.6887608170509338,0.8318248391151428
6,0.92637699842453,0.22800683975219727,0.6772334575653076,0.9409322142601013
7,0.9391087889671326,0.19127802550792694,0.6916426420211792,0.9955766201019287
8,0.9496263265609741,0.16316887736320496,0.6714697480201721,1.066371202468872
9,0.9570993781089783,0.1430933177471161,0.6743515729904175,1.1284356117248535
10,0.9642956256866455,0.12496714293956757,0.6685879230499268,1.1754908561706543
11,0.9676169157028198,0.11183610558509827,0.6829971075057983,1.2438342571258545
12,0.9695543646812439,0.09757518768310547,0.680115282535553,1.2647911310195923
13,0.9701079726219177,0.09356608241796494,0.6714697480201721,1.3718317747116089
14,0.972045361995697,0.09547555446624756,0.680115282535553,1.3333314657211304
15,0.972875714302063,0.08472970128059387,0.6858789920806885,1.3970987796783447
16,0.9753667116165161,0.0793815553188324,0.6772334575653076,1.4283195734024048
17,0.9748131632804871,0.08010288327932358,0.6657060384750366,1.499200701713562
18,0.974259614944458,0.076725535094738,0.6772334575653076,1.5155136585235596
19,0.976473867893219,0.07342580705881119,0.6541786789894104,1.5876195430755615
20,0.9778577089309692,0.06846538931131363,0.6858789920806885,1.6074999570846558
21,0.9759202599525452,0.06815042346715927,0.6829971075057983,1.6156697273254395
22,0.9761970639228821,0.06673508137464523,0.680115282535553,1.6442466974258423
23,0.9767506122589111,0.06045018509030342,0.6714697480201721,1.6194831132888794
24,0.9789648652076721,0.05510140210390091,0.6685879230499268,1.6610703468322754
